Date,Close
2021-06-22,222.0
2021-06-23,273.0
2021-06-24,305.0
2021-06-25,279.0
2021-06-26,288.0
2021-06-27,305.0
2021-06-28,298.0
2021-06-29,304.0
2021-06-30,294.0
2021-07-01,286.0
2021-07-02,285.0
2021-07-03,286.0
2021-07-04,286.0
2021-07-05,271.0
2021-07-06,273.0
2021-07-07,264.0
2021-07-08,246.0
2021-07-09,258.0
2021-07-10,253.0
2021-07-11,253.0
2021-07-12,246.0
2021-07-13,237.0
2021-07-14,232.0
2021-07-15,220.0
2021-07-16,204.0
2021-07-17,221.0
2021-07-18,215.0
2021-07-19,208.0
2021-07-20,203.0
2021-07-21,225.0
2021-07-22,224.0
2021-07-23,227.0
2021-07-24,231.0
2021-07-25,229.0
2021-07-26,235.0
2021-07-27,237.0
2021-07-28,238.0
2021-07-29,235.0
2021-07-30,240.0
2021-07-31,241.0
2021-08-01,237.0
2021-08-02,236.0
2021-08-03,231.0
2021-08-04,232.0
2021-08-05,232.0
2021-08-06,236.0
2021-08-07,301.0
2021-08-08,280.0
2021-08-09,292.0
2021-08-10,295.0
2021-08-11,306.0
2021-08-12,310.0
2021-08-13,331.0
2021-08-14,343.0
2021-08-15,397.0
2021-08-16,376.0
2021-08-17,353.0
2021-08-18,357.0
2021-08-19,372.0
2021-08-20,382.0
2021-08-21,374.0
2021-08-22,369.0
2021-08-23,369.0
2021-08-24,340.0
2021-08-25,341.0
2021-08-26,319.0
2021-08-27,345.0
2021-08-28,337.0
2021-08-29,331.0
2021-08-30,323.0
2021-08-31,326.0
2021-09-01,340.0
2021-09-02,343.0
2021-09-03,343.0
2021-09-04,346.0
2021-09-05,359.0
2021-09-06,358.0
2021-09-07,308.0
2021-09-08,310.0
2021-09-09,305.0
2021-09-10,295.0
2021-09-11,293.0
2021-09-12,300.0
2021-09-13,284.0
2021-09-14,290.0
2021-09-15,293.0
2021-09-16,290.0
2021-09-17,292.0
2021-09-18,292.0
2021-09-19,286.0
2021-09-20,261.0
2021-09-21,250.0
2021-09-22,277.0
2021-09-23,272.0
2021-09-24,255.0
2021-09-25,256.0
2021-09-26,250.0
2021-09-27,246.0
2021-09-28,240.0
2021-09-29,242.0
2021-09-30,249.0
2021-10-01,270.0
2021-10-02,268.0
2021-10-03,270.0
2021-10-04,295.0
2021-10-05,302.0
2021-10-06,307.0
2021-10-07,295.0
2021-10-08,298.0
2021-10-09,301.0
2021-10-10,284.0
2021-10-11,286.0
2021-10-12,279.0
2021-10-13,283.0
2021-10-14,284.0
2021-10-15,287.0
2021-10-16,291.0
2021-10-17,293.0
2021-10-18,306.0
2021-10-19,300.0
2021-10-20,308.0
2021-10-21,298.0
2021-10-22,300.0
2021-10-23,306.0
2021-10-24,337.0
2021-10-25,320.0
2021-10-26,311.0
2021-10-27,293.0
2021-10-28,362.0
2021-10-29,346.0
2021-10-30,319.0
2021-10-31,330.0
2021-11-01,323.0
2021-11-02,321.0
2021-11-03,319.0
2021-11-04,316.0
2021-11-05,318.0
2021-11-06,317.0
2021-11-07,322.0
2021-11-08,341.0
2021-11-09,329.0
2021-11-10,314.0
2021-11-11,317.0
2021-11-12,317.0
2021-11-13,315.0
2021-11-14,319.0
2021-11-15,314.0
2021-11-16,293.0
2021-11-17,291.0
2021-11-18,276.0
2021-11-19,288.0
2021-11-20,287.0
2021-11-21,283.0
2021-11-22,276.0
2021-11-23,282.0
2021-11-24,273.0
2021-11-25,275.0
2021-11-26,258.0
2021-11-27,262.0
2021-11-28,263.0
2021-11-29,268.0
2021-11-30,267.0
2021-12-01,260.0
2021-12-02,261.0
2021-12-03,254.0
2021-12-04,227.0
2021-12-05,215.0
2021-12-06,221.0
2021-12-07,221.0
2021-12-08,221.0
2021-12-09,212.0
2021-12-10,208.0
2021-12-11,210.0
2021-12-12,211.0
2021-12-13,198.0
2021-12-14,238.0
2021-12-15,227.0
2021-12-16,218.0
2021-12-17,212.0
2021-12-18,215.0
2021-12-19,211.0
2021-12-20,207.0
2021-12-21,210.0
2021-12-22,213.0
2021-12-23,223.0
2021-12-24,227.0
2021-12-25,231.0
2021-12-26,230.0
2021-12-27,227.0
2021-12-28,214.0
2021-12-29,206.0
2021-12-30,208.0
2021-12-31,209.0
2022-01-01,211.0
2022-01-02,212.0
2022-01-03,207.0
2022-01-04,206.0
2022-01-05,197.0
2022-01-06,198.0
2022-01-07,192.0
2022-01-08,189.0
2022-01-09,187.0
2022-01-10,176.0
2022-01-11,189.0
2022-01-12,197.0
2022-01-13,208.0
2022-01-14,223.0
2022-01-15,224.0
2022-01-16,213.0
2022-01-17,208.0
2022-01-18,200.0
2022-01-19,196.0
2022-01-20,189.0
2022-01-21,176.0
2022-01-22,165.0
2022-01-23,174.0
2022-01-24,168.0
2022-01-25,173.0
2022-01-26,176.0
2022-01-27,174.0
2022-01-28,175.0
2022-01-29,176.0
2022-01-30,174.0
2022-01-31,175.0
2022-02-01,176.0
2022-02-02,169.0
2022-02-03,169.0
2022-02-04,180.0
2022-02-05,180.0
2022-02-06,187.0
2022-02-07,202.0
2022-02-08,194.0
2022-02-09,192.0
2022-02-10,185.0
2022-02-11,178.0
2022-02-12,176.0
2022-02-13,182.0
2022-02-14,177.0
2022-02-15,183.0
2022-02-16,180.0
2022-02-17,168.0
2022-02-18,170.0
2022-02-19,172.0
2022-02-20,167.0
2022-02-21,158.0
2022-02-22,160.0
2022-02-23,156.0
2022-02-24,151.0
2022-02-25,155.0
2022-02-26,156.0
2022-02-27,152.0
2022-02-28,162.0
2022-03-01,162.0
2022-03-02,162.0
2022-03-03,159.0
2022-03-04,152.0
2022-03-05,155.0
2022-03-06,150.0
2022-03-07,149.0
2022-03-08,150.0
2022-03-09,153.0
2022-03-10,149.0
2022-03-11,149.0
2022-03-12,148.0
2022-03-13,146.0
2022-03-14,146.0
2022-03-15,145.0
2022-03-16,149.0
2022-03-17,148.0
2022-03-18,148.0
2022-03-19,151.0
2022-03-20,150.0
2022-03-21,152.0
2022-03-22,156.0
2022-03-23,160.0
2022-03-24,165.0
2022-03-25,159.0
2022-03-26,164.0
2022-03-27,172.0
2022-03-28,172.0
2022-03-29,173.0
2022-03-30,173.0
2022-03-31,171.0
2022-04-01,171.0
2022-04-02,171.0
2022-04-03,179.0
2022-04-04,181.0
2022-04-05,212.0
2022-04-06,178.0
2022-04-07,181.0
2022-04-08,178.0
2022-04-09,180.0
2022-04-10,186.0
2022-04-11,170.0
2022-04-12,174.0
2022-04-13,176.0
2022-04-14,181.0
2022-04-15,184.0
2022-04-16,180.0
2022-04-17,175.0
2022-04-18,175.0
2022-04-19,177.0
2022-04-20,175.0
2022-04-21,172.0
2022-04-22,171.0
2022-04-23,169.0
2022-04-24,166.0
2022-04-25,198.0
2022-04-26,177.0
2022-04-27,178.0
2022-04-28,175.0
2022-04-29,175.0
2022-04-30,167.0
2022-05-01,170.0
2022-05-02,169.0
2022-05-03,167.0
2022-05-04,173.0
2022-05-05,167.0
2022-05-06,167.0
2022-05-07,167.0
2022-05-08,164.0
2022-05-09,140.0
2022-05-10,144.0
2022-05-11,118.0
2022-05-12,111.0
2022-05-13,119.0
2022-05-14,120.0
2022-05-15,122.0
2022-05-16,115.0
2022-05-17,116.0
2022-05-18,107.0
2022-05-19,111.0
2022-05-20,108.0
2022-05-21,109.0
2022-05-22,110.0
2022-05-23,106.0
2022-05-24,106.0
2022-05-25,107.0
2022-05-26,101.0
2022-05-27,105.0
2022-05-28,105.0
2022-05-29,106.0
2022-05-30,109.0
2022-05-31,108.0
2022-06-01,103.0
2022-06-02,104.0
2022-06-03,102.0
2022-06-04,104.0
2022-06-05,104.0
2022-06-06,105.0
2022-06-07,103.0
2022-06-08,102.0
2022-06-09,101.0
2022-06-10,97.6
2022-06-11,91.3
2022-06-12,82.8
2022-06-13,70.6
2022-06-14,72.3
2022-06-15,81.3
2022-06-16,72.8
2022-06-17,75.1
2022-06-18,69.9
2022-06-19,78.4
2022-06-20,77.7
2022-06-21,85.5
2022-06-22,81.2
2022-06-23,83.0
2022-06-24,86.9
2022-06-25,88.6
2022-06-26,95.5
2022-06-27,94.0
2022-06-28,86.7
2022-06-29,91.9
2022-06-30,86.5
2022-07-01,88.0
2022-07-02,88.1
2022-07-03,88.4
2022-07-04,90.5
2022-07-05,88.6
2022-07-06,89.8
2022-07-07,91.8
2022-07-08,90.3
2022-07-09,90.6
2022-07-10,88.0
2022-07-11,82.0
2022-07-12,79.5
2022-07-13,81.5
2022-07-14,82.2
2022-07-15,83.2
2022-07-16,84.6
2022-07-17,83.4
2022-07-18,88.5
2022-07-19,90.5
2022-07-20,92.2
2022-07-21,92.0
2022-07-22,89.4
2022-07-23,89.9
2022-07-24,89.3
2022-07-25,83.2
2022-07-26,83.5
2022-07-27,88.4
2022-07-28,90.6
2022-07-29,90.9
2022-07-30,92.0
2022-07-31,90.1
2022-08-01,90.9
2022-08-02,89.2
2022-08-03,89.2
2022-08-04,90.1
2022-08-05,92.1
2022-08-06,91.2
2022-08-07,91.2
2022-08-08,92.6
2022-08-09,92.4
2022-08-10,94.1
2022-08-11,94.3
2022-08-12,95.8
2022-08-13,97.1
2022-08-14,109.0
2022-08-15,103.0
2022-08-16,116.0
2022-08-17,109.0
2022-08-18,104.0
2022-08-19,93.1
2022-08-20,96.3
2022-08-21,95.1
2022-08-22,93.6
2022-08-23,93.7
2022-08-24,92.5
2022-08-25,93.7
2022-08-26,87.7
2022-08-27,88.0
2022-08-28,85.6
2022-08-29,87.5
2022-08-30,84.8
2022-08-31,84.4
2022-09-01,85.5
2022-09-02,85.1
2022-09-03,86.6
2022-09-04,87.1
2022-09-05,86.7
2022-09-06,82.5
2022-09-07,84.8
2022-09-08,85.0
2022-09-09,87.8
2022-09-10,88.7
2022-09-11,87.7
2022-09-12,87.7
2022-09-13,83.8
2022-09-14,85.6
2022-09-15,83.6
2022-09-16,85.0
2022-09-17,87.0
2022-09-18,81.4
2022-09-19,82.6
2022-09-20,82.8
2022-09-21,82.1
2022-09-22,84.7
2022-09-23,90.7
2022-09-24,91.0
2022-09-25,88.0
2022-09-26,87.7
2022-09-27,87.3
2022-09-28,87.1
2022-09-29,87.0
2022-09-30,88.5
2022-10-01,87.5
2022-10-02,86.2
2022-10-03,87.0
2022-10-04,94.1
2022-10-05,92.2
2022-10-06,90.4
2022-10-07,88.7
2022-10-08,88.0
2022-10-09,88.4
2022-10-10,85.2
2022-10-11,86.5
2022-10-12,85.8
2022-10-13,85.6
2022-10-14,84.6
2022-10-15,84.5
2022-10-16,84.6
2022-10-17,85.9
2022-10-18,86.0
2022-10-19,84.7
2022-10-20,85.8
2022-10-21,85.5
2022-10-22,85.8
2022-10-23,86.4
2022-10-24,85.4
2022-10-25,89.5
2022-10-26,101.0
2022-10-27,108.0
2022-10-28,118.0
2022-10-29,171.0
2022-10-30,165.0
2022-10-31,179.0
2022-11-01,199.0
2022-11-02,181.0
2022-11-03,175.0
2022-11-04,176.0
2022-11-05,174.0
2022-11-06,162.0
2022-11-07,156.0
2022-11-08,128.0
2022-11-09,107.0
2022-11-10,127.0
2022-11-11,118.0
2022-11-12,123.0
2022-11-13,117.0
2022-11-14,117.0
2022-11-15,119.0
2022-11-16,118.0
2022-11-17,118.0
2022-11-18,117.0
2022-11-19,116.0
2022-11-20,108.0
2022-11-21,104.0
2022-11-22,109.0
2022-11-23,113.0
2022-11-24,111.0
2022-11-25,122.0
2022-11-26,122.0
2022-11-27,137.0
2022-11-28,131.0
2022-11-29,139.0
2022-11-30,144.0
2022-12-01,139.0
2022-12-02,137.0
2022-12-03,135.0
2022-12-04,140.0
2022-12-05,135.0
2022-12-06,134.0
2022-12-07,129.0
2022-12-08,132.0
2022-12-09,130.0
2022-12-10,129.0
2022-12-11,123.0
2022-12-12,119.0
2022-12-13,119.0
2022-12-14,116.0
2022-12-15,113.0
2022-12-16,102.0
2022-12-17,105.0
2022-12-18,104.0
2022-12-19,94.2
